Prop ID,Prop Name,Prop City,Live Date,RM,PM,Total Inventory,Avali,Inv Status,Head,MTD - FH Occ,Jan-2026 Ach ADR,STLM ADR,Feb-2026 MTD ADR,LM Vs CM ADR MTD,STLM,Feb-2026 MTD Rev,LM Vs CM MTD,Jan-2026 Ach Rev,Monthly Target,Monthly RR,Achievement,Target delta,Grid Status,MTD CTF,Bucket,CM Pricing Forms Count,L30D Pricing Forms Count,Days Since Last Pricing Form,MM,City Tag,Set,CAT
1040820,FabHotel De Rajnigandha,Nashik,24-Oct-2025,Simpi,Keshav Gauba,14,14,Live,Arun Biyani,0.00%,1700.1,1709.5,1722.5,0.8% ▲,0.07,0.03,-49.6% ▼,0.46,0.7,0.1,13.78%,-0.6,No Grid,,0-10%,1,3,8,Deolali Gaon,Pilgrim,PostSet,Category B
1040822,FabHotel S 14,Jaipur,24-Oct-2025,Mayank,Keshav Gauba,10,10,Live,Arun Biyani,0.00%,1389.5,1293,1088,-15.9% ▼,0.01,0.01,-15.9% ▼,0.32,0.37,0.03,8.23%,-0.34,PRICE_DECREASE_10_PERCENT_3PM,,0-10%,0,1,20,Malviya Nagar,Leisure,PostSet,Category C
1044046,FabHotel Best Buy,Kolkata,27-Oct-2025,Akhlesh,Keshav Gauba,18,18,Live,Arun Biyani,0.00%,1414.1,1597.8,1292,-19.1% ▼,0.19,0.13,-32.6% ▼,0.88,0.59,0.36,61.32%,-0.23,No Grid,,0-10%,1,2,8,Beniapukur,Metro,PostSet,Category C
1044047,FabHotel RK Grand,Hyderabad,27-Oct-2025,Newton,Keshav Gauba,15,0,Churned,Arun Biyani,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,-,0,0,-,0,0,0,-,0,Live,,0-10%,#N/A,,,Kondapur,Metro,PostSet,Category B
1044048,FabHotel Bankey Bihari Bhawan,Vrindavan,27-Oct-2025,Aditya,Keshav Gauba,16,0,Churned,Arun Biyani,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,-,0,0,-,0,0,0,-,0,Churned,,0-10%,#N/A,,,Rukmani Vihar,Pilgrim,PostSet,Category C
1044051,FabHotel Veda Inn,Hyderabad,27-Oct-2025,Newton,Keshav Gauba,20,20,Live,Arun Biyani,0.00%,1436.3,1388.4,2152.6,55.0% ▲,0.11,0.17,55.0% ▲,0.7,0.95,0.48,50.76%,-0.47,PRICE_DECREASE_10_PERCENT_3PM,,0-10%,0,2,11,Chaitanyapuri,Metro,PostSet,Category B
1044052,FabHotel Golden Horizon,Goa,27-Oct-2025,Dev Raj,Keshav Gauba,33,27,Live,Arun Biyani,0.00%,2401.1,2728.1,1819,-33.3% ▼,0.35,0.04,-89.7% ▼,1.06,1.08,0.1,9.43%,-0.98,No Grid,,0-10%,5,7,2,Morjim,Leisure,PostSet,Category B
1044054,FabHotel The Royal Inn,Pune,27-Oct-2025,Simpi,Keshav Gauba,20,0,Churned,Arun Biyani,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,-,0,0,-,0,0,0,-,0,Live,,0-10%,#N/A,,,Chikhali,Metro,PostSet,Category B
1044058,FabHotel Panchsheel Crown,Pune,27-Oct-2025,Simpi,Keshav Gauba,16,16,Live,Arun Biyani,0.00%,1429.2,1564.7,1606.6,2.7% ▲,0.23,0.16,-31.5% ▼,0.53,0.67,0.45,67.14%,-0.22,No Grid,,0-10%,1,2,8,Mundhwa,Metro,PostSet,Category B
1044062,FabHotel Jyotish Bhawan,Ayodhya,27-Oct-2025,Harsh Gupta,Keshav Gauba,20,0,Churned,Arun Biyani,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,-,0,0,-,0,0,0,-,0,No Grid,,0-10%,#N/A,,,Sapt Sagar Colony,Pilgrim,PostSet,Category B
